age_group,gender,region,industry,industry_10_TEXT,annual_income,education,payment_method,payment_method_5_TEXT,card_ownership,card_ownership_6_TEXT,discounts,frequency,categories,categories_17_TEXT,restaurant,restaurant_average,restaurant_recency,fffc,fffc_average,fffc_recency,grocery,grocery_average,grocery_recency,electronic,electronic_average,electronic_recency,book,book_average,book_recency,sports,sports_average,sports_recency,clothing,clothing_average,clothing_recency,footwear,footwear_average,footwear_recency,hba,hba_average,hba_recency,jw,jw_average,jw_recency,household,household_average,household_recency,furniture,furniture_average,furniture_recency,beverage,beverage_average,beverage_recency,news,news_average,news_recency,toys,toys_average,toys_recency,gardening,gardening_average,gardening_recency,others,others_average,others_recency
age_group,gender,region,industry - Selected Choice,industry - Others (Please Specify) - Text,annual_income,education,payment_method - Selected Choice,payment_method - Others (Please Specify) - Text,card_ownership - Selected Choice,card_ownership - Others (Please Specify) - Text,discounts,frequency,categories - Selected Choice,categories - Others (Please Specify) - Text,restaurant,restaurant_average,restaurant_recency,fffc,fffc_average,fffc_recency,grocery,grocery_average,grocery_recency,electronic,electronic_average,electronic_recency,book,book_average,book_recency,sports,sports_average,sports_recency,clothing,clothing_average,clothing_recency,footwear,footwear_average,footwear_recency,hba,hba_average,hba_recency,jw,jw_average,jw_recency,gender,household_average,household_recency,furniture,furniture_average,furniture_recency,beverage,beverage_average,beverage_recency,news,news_average,news_recency,toys,toys_average,toys_recency,gardening,gardening_average,gardening_recency,others,others_average,others_recency
"{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_10_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID67""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_6_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_17_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID66""}"
< 20 years old,Male,North-East,Technology,,I am a Student,Diploma,"Cash,Debit Card",,"DBS/POSB,OCBC",,Yes,Daily,"Restaurant (Includes Takeaways),Fast Food / Food Court (Includes Takeaways),Electronic Product,Sports / Outdoor Equipment,Clothing",,"Keisuke ramen, upin hotpot, colins",150,< 3 days ago,"Mcdonalds, kopitiam and kfc",50,< 2 weeks ago,,,,"Challenger, dynacore, courts",100,> a month,,,,"Decathalon, adidas, nike",100,> a month,"H&n, uniqlo and cotton on",50,< 3 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-30 years old,Male,East,Finance,,I am a Student,Diploma,"Cash,Debit Card",,"Citibank,DBS/POSB",,Yes,2-3 times per week,"Restaurant (Includes Takeaways),Fast Food / Food Court (Includes Takeaways),Groceries,Clothing,Bubble Tea / Beverages",,"Saizeriya, Astons, Paradise dynasty ",$30,< 3 days ago,"Macdonalds, koufu and Kfc",$20,< 3 days ago,"Fair price, shengsiong and U star ",$50,< 1 week ago,,,,,,,,,,"Uniqlo, Zara and Leftfoot ",$50,< 2 weeks ago,,,,,,,,,,,,,,,,"Gongcha, Koi and R&B ",$5,< 2 weeks ago,,,,,,,,,,,,
21-30 years old,Female,North,Medical,,"$20,001 - $44,999",University Degree,"Debit Card,NETS Card",,OCBC,,Yes,2-3 times per week,"Restaurant (Includes Takeaways),Fast Food / Food Court (Includes Takeaways),Clothing,Health & Beauty Products,Bubble Tea / Beverages",,"Coffee bean, starbucks",$50 to 60,< 2 weeks ago,"Subway, macdonald, kopitiam",$70,I visited a fast food / food court today,,,,,,,,,,,,,"Online shops, cotton on, uniqlo",$100,< 1 week ago,,,,"Clinique, sephora, nil",80 to 100,> a month,,,,,,,,,,"Coffee bean, starbucks",$50 to 60,< 3 days ago,,,,,,,,,,,,
21-30 years old,Female,North-East,Technology,,"$20,001 - $44,999",Diploma,Debit Card,,"DBS/POSB,OCBC",,Yes,Daily,"Restaurant (Includes Takeaways),Fast Food / Food Court (Includes Takeaways),Groceries,Health & Beauty Products,Bubble Tea / Beverages",,"Pastamania, genki sushi, toast box",70,< 1 week ago,"Kfc, kopidiam, food republic ",70,< 3 days ago,"fairprice, giant, sheng shiong",100,< 3 days ago,,,,,,,,,,,,,,,,"guadian, watson, gnc",100,< 1 week ago,,,,,,,,,,"koi, boost, coffeebean ",50,< 3 days ago,,,,,,,,,,,,
21-30 years old,Male,North,Engineering,,"< $20,000",Diploma,Credit Card,,DBS/POSB,,Yes,Weekly,"Restaurant (Includes Takeaways),Fast Food / Food Court (Includes Takeaways),Groceries,Clothing,Bubble Tea / Beverages",,"Tanjong beach club, Aston, Overseasy ",$35,< 3 days ago,Nil,Nil,> a month,"Ntuc, giant, mama shop",$20,< 2 weeks ago,,,,,,,,,,Adidas,$120,> a month,,,,,,,,,,,,,,,,"Gong cha, liho",$6,> a month,,,,,,,,,,,,
< 20 years old,Male,North,Engineering,,I am a Student,A Levels,Debit Card,,DBS/POSB,,Yes,4-6 times per week,"Restaurant (Includes Takeaways),Groceries,Sports / Outdoor Equipment,Clothing,Health & Beauty Products",,I dont know,100,< 1 week ago,,,,Giant cold fairprice,200,I visited a groceries store today,,,,,,,Decathlon and online,100,< 1 week ago,Online websites stockx,100,< a month ago,,,,Guardian watson all,30,> a month,,,,,,,,,,,,,,,,,,,,,,,,
> 50 years old,Male,North,Others (Please Specify),Construction,"$60,000 - $89,999",Diploma,Cash,,DBS/POSB,,Yes,2-3 times per week,"Fast Food / Food Court (Includes Takeaways),Groceries,Books,Household Products,Gardening Products",,,,,Woodlands,300,< 3 days ago,Ntuc,200,< 3 days ago,,,,Popular,50,< a month ago,,,,,,,,,,,,,,,,Ikea,100,< 2 weeks ago,,,,,,,,,,,,,Pioneer,40,< 2 weeks ago ,,,
